BSSID   		Latitude 	longitude 	Power 	Dis 	Rpower
e2:55:7d:46:ba:70	39.95344475	-75.1953241	-67	9.81	-61.83
e2:55:7d:46:ba:70	39.95346047	-75.19534486	-68	7.48	-59.48
e2:55:7d:46:ba:70	39.95351389	-75.19536677	-62	6.09	-57.69
e2:55:7d:46:ba:70	39.9535116	-75.19539087	-62	4.32	-54.7
e2:55:7d:46:ba:70	39.95351465	-75.19540162	-56	4.0	-54.04
e2:55:7d:46:ba:70	39.95348435	-75.1954269	-42	0.0	-42.0
e2:55:7d:46:ba:70	39.95350455	-75.19552856	-61	8.95	-61.04
e2:55:7d:46:ba:70	39.95353418	-75.19554469	-61	11.47	-63.19
e2:55:7d:46:ba:70	39.95356256	-75.1956038	-68	17.41	-66.82
e2:55:7d:46:ba:70	39.95353174	-75.19586533	-69	37.75	-73.54
e2:55:7d:46:ba:70	39.95344449	-75.19582356	-68	34.11	-72.66
e2:55:7d:46:ba:70	39.95345135	-75.19575759	-69	28.43	-71.08
e2:55:7d:46:ba:70	39.95342285	-75.19569923	-57	24.21	-69.68
e2:55:7d:46:ba:70	39.95340621	-75.19565746	-69	21.49	-68.65
e2:55:7d:46:ba:70	39.95338485	-75.19551169	-60	13.22	-64.42
e2:55:7d:46:ba:70	39.9533588	-75.19546526	-60	14.34	-65.13
e2:55:7d:46:ba:70	39.95336648	-75.19540467	-72	13.25	-64.44
e2:55:7d:46:ba:70	39.95336993	-75.19533335	-72	15.02	-65.53
e2:55:7d:46:ba:70	39.95327412	-75.1955647	-65	26.17	-70.36
e2:55:7d:46:ba:70	39.95328151	-75.19562271	-65	28.07	-70.96
e2:55:7d:46:ba:70	39.95328667	-75.19567539	-76	30.53	-71.7
e2:55:7d:46:ba:70	39.95329931	-75.19576064	-71	35.12	-72.91
e2:55:7d:46:ba:70	39.95333245	-75.19582484	-70	37.9	-73.57
e2:55:7d:46:ba:70	39.95343911	-75.19562141	-69	17.33	-66.78
e2:55:7d:46:ba:70	39.95343569	-75.19557638	-69	13.85	-64.83
e2:55:7d:46:ba:70	39.95322091	-75.19541343	-66	29.32	-71.34
e2:55:7d:46:ba:70	39.95330729	-75.19556592	-66	22.99	-69.23
e2:55:7d:46:ba:70	39.95339435	-75.19585788	-70	38.09	-73.62
e2:55:7d:46:ba:70	39.95330516	-75.19589166	-71	44.36	-74.94
