BSSID   		Latitude 	longitude 	Power 	Dis 	Rpower
ac:86:74:57:d6:82	39.9531262	-75.19316856	-60	10.41	-61.35
ac:86:74:57:d6:82	39.95306805	-75.19322581	-61	5.11	-55.17
ac:86:74:57:d6:82	39.95303359	-75.1931862	-41	0.0	-41.0
ac:86:74:57:d6:82	39.95300903	-75.19329689	-59	9.83	-60.85
ac:86:74:57:d6:82	39.95308204	-75.19333511	-62	13.79	-63.79
ac:86:74:57:d6:82	39.95307472	-75.19350965	-64	27.96	-69.93
ac:86:74:57:d6:82	39.95305298	-75.19355542	-77	31.56	-70.98
ac:86:74:57:d6:82	39.95304666	-75.19358466	-69	34.01	-71.63
ac:86:74:57:d6:82	39.95309792	-75.19371891	-79	45.98	-74.25
ac:86:74:57:d6:82	39.95311104	-75.19376055	-75	49.72	-74.93
ac:86:74:57:d6:82	39.95314332	-75.19378227	-81	52.27	-75.36
ac:86:74:57:d6:82	39.95315069	-75.19381858	-82	55.47	-75.88
ac:86:74:57:d6:82	39.95318367	-75.1938578	-82	59.65	-76.51
ac:86:74:57:d6:82	39.95316839	-75.19387127	-82	60.31	-76.61
ac:86:74:57:d6:82	39.9529689	-75.19327191	-74	10.26	-61.22
ac:86:74:57:d6:82	39.95295116	-75.1932809	-70	12.22	-62.74
ac:86:74:57:d6:82	39.95298173	-75.19337015	-66	16.71	-65.46
ac:86:74:57:d6:82	39.95299407	-75.19344377	-64	22.4	-68.0
ac:86:74:57:d6:82	39.95297741	-75.19354724	-76	31.41	-70.94
ac:86:74:57:d6:82	39.9530528	-75.19362915	-67	37.83	-72.56
ac:86:74:57:d6:82	39.95305761	-75.19366132	-76	40.6	-73.17
ac:86:74:57:d6:82	39.95311303	-75.19377652	-74	51.1	-75.17
ac:86:74:57:d6:82	39.95304962	-75.19363119	-71	37.98	-72.59
ac:86:74:57:d6:82	39.95300972	-75.19348948	-71	26.0	-69.3
ac:86:74:57:d6:82	39.95293554	-75.19321491	-69	11.18	-61.97
ac:86:74:57:d6:82	39.95287939	-75.19300501	-79	23.08	-68.27
